,state,county,tract,rfgrp,prednum,prednum_moe,predrt,predrt_moe,stname,STABREV,ctname,popuni
82457,20,59,954300,3PLRF,772,501.4,14.31,9.3,Kansas,KS,"Franklin County, KS",5393
82458,20,59,954400,0RF,1401,477.2,32.7,11.14,Kansas,KS,"Franklin County, KS",4285
82459,20,59,954400,1-2RF,2029,492.4,47.35,11.49,Kansas,KS,"Franklin County, KS",4285
82460,20,59,954400,3PLRF,855,395.4,19.95,9.23,Kansas,KS,"Franklin County, KS",4285
82461,20,59,954500,0RF,1643,422.7,27.63,7.11,Kansas,KS,"Franklin County, KS",5947
82462,20,59,954500,1-2RF,2787,440.4,46.86,7.41,Kansas,KS,"Franklin County, KS",5947
82463,20,59,954500,3PLRF,1517,357.0,25.51,6.0,Kansas,KS,"Franklin County, KS",5947
82464,20,61,0,0RF,10334,2387.2,31.84,7.35,Kansas,KS,"Geary County, KS",32457
82465,20,61,0,1-2RF,16962,2627.3,52.26,8.09,Kansas,KS,"Geary County, KS",32457
82466,20,61,0,3PLRF,5161,2094.5,15.9,6.45,Kansas,KS,"Geary County, KS",32457
82467,20,61,100,0RF,0,0.0,0.0,0.0,Kansas,KS,"Geary County, KS",2583
82468,20,61,100,1-2RF,2070,322.2,80.14,12.47,Kansas,KS,"Geary County, KS",2583
82469,20,61,100,3PLRF,513,322.2,19.86,12.47,Kansas,KS,"Geary County, KS",2583
82470,20,61,200,0RF,604,353.5,20.71,12.12,Kansas,KS,"Geary County, KS",2917
82471,20,61,200,1-2RF,1517,379.7,52.01,13.02,Kansas,KS,"Geary County, KS",2917
82472,20,61,200,3PLRF,796,292.1,27.29,10.01,Kansas,KS,"Geary County, KS",2917
82473,20,61,300,0RF,2097,536.9,44.17,11.31,Kansas,KS,"Geary County, KS",4748
82474,20,61,300,1-2RF,1773,581.2,37.34,12.24,Kansas,KS,"Geary County, KS",4748
82475,20,61,300,3PLRF,878,476.5,18.49,10.04,Kansas,KS,"Geary County, KS",4748
82476,20,61,400,0RF,1702,668.2,28.72,11.28,Kansas,KS,"Geary County, KS",5926
82477,20,61,400,1-2RF,3147,721.3,53.1,12.17,Kansas,KS,"Geary County, KS",5926
82478,20,61,400,3PLRF,1077,603.7,18.17,10.19,Kansas,KS,"Geary County, KS",5926
82479,20,61,500,0RF,613,321.2,23.31,12.21,Kansas,KS,"Geary County, KS",2630
82480,20,61,500,1-2RF,1613,342.0,61.33,13.0,Kansas,KS,"Geary County, KS",2630
