,date,state,positive,negative,positiveIncrease,negativeIncrease,death,deathIncrease,totalTestResultsIncrease,totalTestResults,recovered,Percentage,Active Cases
5970,2020-05-16,NJ,145089.0,330135.0,1184,11068,11909.0,115,12252,475224.0,22939.0,9.66%,110241.0
6010,2020-05-15,KS,7886.0,53706.0,418,3546,172.0,8,3964,61592.0,443.0,10.54%,7271.0
6026,2020-05-15,NJ,143905.0,319067.0,1201,10075,11794.0,197,11276,462972.0,15642.0,10.65%,116469.0
6066,2020-05-14,KS,7468.0,50160.0,0,0,164.0,0,0,57628.0,422.0,0.00%,6882.0
6082,2020-05-14,NJ,142704.0,308992.0,1144,9102,11597.0,253,10246,451696.0,15642.0,11.17%,115465.0
6122,2020-05-13,KS,7468.0,50160.0,352,3167,164.0,6,3519,57628.0,422.0,10.00%,6882.0
6138,2020-05-13,NJ,141560.0,299890.0,817,7573,11344.0,202,8390,441450.0,15642.0,9.74%,114574.0
6178,2020-05-12,KS,7116.0,46993.0,0,0,158.0,0,0,54109.0,376.0,0.00%,6582.0
6194,2020-05-12,NJ,140743.0,292317.0,798,6329,11142.0,212,7127,433060.0,15642.0,11.20%,113959.0
6234,2020-05-11,KS,7116.0,46993.0,168,1436,158.0,1,1604,54109.0,376.0,10.47%,6582.0
6250,2020-05-11,NJ,139945.0,285988.0,1413,112073,10930.0,60,113486,425933.0,15642.0,1.25%,113373.0
6290,2020-05-10,KS,6948.0,45557.0,197,2375,157.0,0,2572,52505.0,371.0,7.66%,6420.0
6306,2020-05-10,NJ,138532.0,173915.0,1447,5794,10870.0,151,7241,312447.0,15642.0,19.98%,112020.0
6346,2020-05-09,KS,6751.0,43182.0,250,1975,157.0,5,2225,49933.0,350.0,11.24%,6244.0
6362,2020-05-09,NJ,137085.0,168121.0,1631,4816,10719.0,177,6447,305206.0,15642.0,25.30%,110724.0
6402,2020-05-08,KS,6501.0,41207.0,357,2529,152.0,5,2886,47708.0,332.0,12.37%,6017.0
6418,2020-05-08,NJ,135454.0,163305.0,1819,4282,10542.0,170,6101,298759.0,15642.0,29.81%,109270.0
6458,2020-05-07,KS,6144.0,38678.0,410,2298,147.0,3,2708,44822.0,323.0,15.14%,5674.0
6474,2020-05-07,NJ,133635.0,159023.0,1745,1993,10372.0,264,3738,292658.0,15642.0,46.68%,107621.0
6514,2020-05-06,KS,5734.0,36380.0,276,1746,144.0,7,2022,42114.0,318.0,13.65%,5272.0
6530,2020-05-06,NJ,131890.0,157030.0,1297,0,10108.0,323,1297,288920.0,15642.0,100.00%,106140.0
6570,2020-05-05,KS,5458.0,34634.0,213,1276,137.0,1,1489,40092.0,296.0,14.30%,5025.0
6586,2020-05-05,NJ,130593.0,157030.0,2324,8079,9785.0,341,10403,287623.0,15642.0,22.34%,105166.0
6626,2020-05-04,KS,5245.0,33358.0,215,1610,136.0,2,1825,38603.0,291.0,11.78%,4818.0
6642,2020-05-04,NJ,128269.0,148951.0,1525,629,9444.0,62,2154,277220.0,15642.0,70.80%,103183.0
6682,2020-05-03,KS,5030.0,31748.0,284,1552,134.0,3,1836,36778.0,286.0,15.47%,4610.0
6698,2020-05-03,NJ,126744.0,148322.0,3027,9727,9382.0,154,12754,275066.0,15642.0,23.73%,101720.0
6738,2020-05-02,KS,4746.0,30196.0,297,1611,131.0,1,1908,34942.0,286.0,15.57%,4329.0
6754,2020-05-02,NJ,123717.0,138595.0,2527,3240,9228.0,227,5767,262312.0,15642.0,43.82%,98847.0
6794,2020-05-01,KS,4449.0,28585.0,211,1197,130.0,1,1408,33034.0,280.0,14.99%,4039.0
6810,2020-05-01,NJ,121190.0,135355.0,2538,6089,9001.0,334,8627,256545.0,15642.0,29.42%,96547.0
6850,2020-04-30,KS,4238.0,27388.0,500,1668,129.0,4,2168,31626.0,272.0,23.06%,3837.0
6866,2020-04-30,NJ,118652.0,129266.0,2388,4212,8667.0,481,6600,247918.0,15642.0,36.18%,94343.0
6906,2020-04-29,KS,3738.0,25720.0,247,1121,125.0,1,1368,29458.0,266.0,18.06%,3347.0
6922,2020-04-29,NJ,116264.0,125054.0,2408,4551,8186.0,349,6959,241318.0,15642.0,34.60%,92436.0
6962,2020-04-28,KS,3491.0,24599.0,163,760,124.0,4,923,28090.0,0.0,17.66%,3367.0
6978,2020-04-28,NJ,113856.0,120503.0,2668,3916,7837.0,428,6584,234359.0,15642.0,40.52%,90377.0
7018,2020-04-27,KS,3328.0,23839.0,154,786,120.0,2,940,27167.0,0.0,16.38%,3208.0
7034,2020-04-27,NJ,111188.0,116587.0,2150,2481,7409.0,139,4631,227775.0,0.0,46.43%,103779.0
7074,2020-04-26,KS,3174.0,23053.0,118,910,118.0,1,1028,26227.0,0.0,11.48%,3056.0
7090,2020-04-26,NJ,109038.0,114106.0,3515,5943,7270.0,101,9458,223144.0,0.0,37.16%,101768.0
7130,2020-04-25,KS,3056.0,22143.0,279,1332,117.0,6,1611,25199.0,0.0,17.32%,2939.0
7146,2020-04-25,NJ,105523.0,108163.0,3327,4397,7169.0,280,7724,213686.0,0.0,43.07%,98354.0
7186,2020-04-24,KS,2777.0,20811.0,295,1975,111.0,-1,2270,23588.0,0.0,13.00%,2666.0
7202,2020-04-24,NJ,102196.0,103766.0,2207,3607,6889.0,279,5814,205962.0,0.0,37.96%,95307.0
7242,2020-04-23,KS,2482.0,18836.0,271,844,112.0,2,1115,21318.0,0.0,24.30%,2370.0
7258,2020-04-23,NJ,99989.0,100159.0,4124,4365,6610.0,332,8489,200148.0,0.0,48.58%,93379.0
7298,2020-04-22,KS,2211.0,17992.0,186,916,110.0,3,1102,20203.0,0.0,16.88%,2101.0
7314,2020-04-22,NJ,95865.0,95794.0,3478,3355,6278.0,343,6833,191659.0,0.0,50.90%,89587.0
7354,2020-04-21,KS,2025.0,17076.0,39,301,107.0,7,340,19101.0,0.0,11.47%,1918.0
7370,2020-04-21,NJ,92387.0,92439.0,3581,3188,5935.0,414,6769,184826.0,0.0,52.90%,86452.0
7410,2020-04-20,KS,1986.0,16775.0,137,494,100.0,8,631,18761.0,0.0,21.71%,1886.0
7426,2020-04-20,NJ,88806.0,89251.0,3505,3864,5521.0,208,7369,178057.0,0.0,47.56%,83285.0
7466,2020-04-19,KS,1849.0,16281.0,59,395,92.0,6,454,18130.0,0.0,13.00%,1757.0
7482,2020-04-19,NJ,85301.0,85387.0,3881,4271,5313.0,171,8152,170688.0,0.0,47.61%,79988.0
7522,2020-04-18,KS,1790.0,15886.0,85,690,86.0,2,775,17676.0,0.0,10.97%,1704.0
7538,2020-04-18,NJ,81420.0,81116.0,2953,2134,5142.0,286,5087,162536.0,0.0,58.05%,76278.0
7578,2020-04-17,KS,1705.0,15196.0,117,662,84.0,4,779,16901.0,0.0,15.02%,1621.0
7594,2020-04-17,NJ,78467.0,78982.0,3150,2469,4856.0,365,5619,157449.0,0.0,56.06%,73611.0
7634,2020-04-16,KS,1588.0,14534.0,94,1360,80.0,4,1454,16122.0,0.0,6.46%,1508.0
7650,2020-04-16,NJ,75317.0,76513.0,4287,3522,4491.0,421,7809,151830.0,0.0,54.90%,70826.0
